ponzi,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime
0.0,3.0,3.0,1.037266e+18,1.037266e+18,3.457553333333333e+17,3.457553333333333e+17,1.2397429050232776e+17,1.2397429050232776e+17,0.19473307714703847,0.19473307714703847,914877.0,5489262.0
0.0,1303.0,1355.0,4.104742e+19,6.52312e+19,3.1502240982348428e+16,4.814110701107011e+16,1.543946754557917e+17,3.6401236363431424e+17,0.6645520514583784,0.6835230361261261,6835.794206170052,18169541.0
0.0,787.0,239.0,8.065e+18,7.645e+18,1.0247776365946632e+16,3.198744769874477e+16,792823279828087.1,3.155634943589115e+16,0.022135271629572618,0.3915672178879187,17376.30409356725,17828088.0
0.0,0.0,16652.0,3.984283469420696e+22,2.3913408473798854e+22,0.0,1.4360682484865994e+18,0.0,1.496562130045262e+19,0.7791031254194779,0.7279257579887733,2720.7147489791014,45305342.0
0.0,1.0,1.0,1.49474895e+18,1.49474895e+18,1.49474895e+18,1.49474895e+18,0.0,0.0,0.0,0.0,8914044.0,17828088.0
0.0,6.0,6618.0,2.60002e+20,1.6608014076988893e+22,4.333366666666666e+19,2.509521619369733e+18,4.229491695490395e+19,5.417761181704445e+18,0.5256318541139426,0.5924669808847907,5103.579710144928,33806112.0
0.0,0.0,23.0,1.18290297232e+21,1.18290297232e+21,0.0,5.143056401391304e+19,0.0,2.402881713787555e+19,0.2546775603029791,0.2536504310101655,49567.13043478261,1140044.0
0.0,36.0,21.0,7.0056453047e+19,2.8778223707e+19,1.946012584638889e+18,1.3703916050952381e+18,3.5793198173451443e+18,2.002251663128457e+18,0.6201690914752841,0.4922940936192481,807287.0350877193,46015361.0
0.0,167.0,19.0,5.6648892097499995e+20,5.4859892097499995e+20,3.392149227395209e+18,2.887362741973684e+19,7.288039676296636e+18,1.0217038772139719e+20,0.6501232912662888,0.8634680907163905,386703.01075268816,71926760.0
0.0,53.0,53.0,1.79396e+18,1.79396e+18,3.3848301886792452e+16,3.3848301886792452e+16,4555239875567334.0,4555239875567334.0,0.01831049849873601,0.01831049849873601,628170.0471698113,66586025.0
0.0,0.0,1208.0,8.19415e+20,8.0038e+20,0.0,6.625662251655629e+17,0.0,2.8971498996676076e+18,0.45095745554464395,0.5029886052469448,31204.440397350994,37694964.0
0.0,1.0,1.0,1.25e+18,1.25e+18,1.25e+18,1.25e+18,0.0,0.0,0.0,0.0,33293012.5,66586025.0
0.0,1146.0,3081.0,5.667733884799261e+19,5.292649052272549e+19,4.9456665661424616e+16,1.7178348108641834e+16,4.99202008888185e+16,3.5811947973094924e+16,0.4517325911242949,0.7664271537011978,15752.54908918855,66586025.0
0.0,2.0,95.0,3e+20,9.421489409620001e+21,1.5e+20,9.917357273284212e+19,1.49e+20,2.976501822798764e+20,0.49666666666666665,0.8731280702769031,854245.9587628866,82861858.0
0.0,0.0,64.0,9.973867789061784e+18,9.95385254e+18,0.0,1.555289459375e+17,0.0,2.8568969046365254e+17,0.40703551479794786,0.3739863310502689,870944.109375,55740423.0
0.0,1.0,1.0,1.5e+18,1.5e+18,1.5e+18,1.5e+18,0.0,0.0,0.0,0.0,41856482.5,83712965.0
0.0,7.0,7.0,6.966234585345523e+18,6.96623458e+18,9.951763693350747e+17,9.951763685714286e+17,5.034665959915087e+17,5.034665984187392e+17,0.2662969978818708,0.26629699898178605,6297064.357142857,88158901.0
0.0,5.0,32565.0,5777220000000000.0,1.3735461956117637e+23,1155444000000000.0,4.217860265965803e+18,481835736059499.8,1.0963731678244312e+20,0.18911794946358282,0.8481904573219913,2707.579521031624,88185865.0
0.0,20.0,20.0,9.333402303e+19,9.333402303e+19,4.666701151499999e+18,4.666701151499999e+18,7.011444941893738e+18,7.011444941893738e+18,0.6214188164037185,0.6214188164037185,2203972.525,88158901.0
0.0,3.0,10.0,3e+17,3.0210864863612903e+19,1e+17,3.02108648636129e+18,0.0,2.653774985899448e+18,0.0,0.476990359865986,6781453.923076923,88158901.0
0.0,4.0,10.0,2.569e+19,2.872022102734935e+19,6.4225e+18,2.872022102734935e+18,1.5923312312455596e+18,3.080876687641084e+18,0.13322304398598678,0.5643041769938664,6297064.357142857,88158901.0
0.0,8.0,8.0,7.137512263643324e+19,7.1375122636433244e+19,8.921890329554154e+18,8.921890329554156e+18,7.706421463533279e+18,7.706421463533278e+18,0.440825445522233,0.440825445522233,5509931.3125,88158901.0
0.0,0.0,43.0,6.9e+16,3.9591596845720934e+18,0.0,9.207348103656032e+16,0.0,2.0297404541249014e+17,0.28019323671497587,0.7961044160407371,1053113.9767441861,45283901.0
0.0,55.0,54.0,4.870075856238842e+18,4.87007585e+18,8.854683374979712e+16,9.018658981481482e+16,9.250273371009595e+16,9.485894003650926e+16,0.3161928298144739,0.3139274565918722,808797.256880734,88158901.0
0.0,3.0,2.0,3.41e+18,3.41e+18,1.1366666666666666e+18,1.705e+18,1.529974582214431e+18,1.595e+18,0.6412512218963832,0.46774193548387094,17631780.2,88158901.0
0.0,5.0,5.0,4.6617e+19,4.6617e+19,9.3234e+18,9.3234e+18,1.312717963006525e+19,1.312717963006525e+19,0.6586524229358388,0.6586524229358388,8815890.1,88158901.0
0.0,6021.0,4678.0,1.6108231969541512e+22,1.6601450241851618e+22,2.675341632543018e+18,3.5488350239101363e+18,4.119054094530002e+19,5.49858883666847e+19,0.8364830028966587,0.8643957592603893,8239.919712122628,88158901.0
0.0,7291.0,16355.0,3.1391233953321284e+21,2.8653636993620655e+21,4.305477157224151e+17,1.7519802502978083e+17,2.347139668054902e+18,2.7139164242111816e+18,0.9143517259110089,0.9507626944580626,3728.2796667512475,88158901.0
0.0,4.0,4.0,1.7665e+21,1.7665e+21,4.41625e+20,4.41625e+20,5.703880669114669e+20,5.703880669114669e+20,0.6220634022077555,0.6220634022077555,11019862.625,88158901.0
0.0,363.0,8.0,3.5944970425231933e+20,3.5951918211107645e+20,9.902195709430285e+17,4.493989776388456e+19,1.2571632888775603e+17,9.042591148218607e+19,0.022156720237481706,0.7485156392339405,237625.07008086253,88158901.0
0.0,11442.0,29770.0,1.0475679860449465e+22,1.0237595387378933e+22,9.15546220979677e+17,3.438896670265009e+17,2.355884926531845e+19,4.0423300374140017e+18,0.8312847647676432,0.9307348319567904,2139.156095312045,88158901.0
0.0,327.0,326.0,3.4209315642598605e+19,3.4173732669999997e+19,1.0461564416696821e+17,1.0482740082822085e+17,6.097461808667309e+16,6.094789310377456e+16,0.04848388095841314,0.04665699443119395,135005.97396630934,88158901.0
0.0,4570.0,4487.0,1.424544994228e+21,1.0485442417279998e+21,3.1171662893391686e+17,2.336849212676621e+17,4.606552754818096e+18,4.481615562985767e+18,0.9503063800808342,0.9405952054536073,9733.786132273379,88158901.0
0.0,914.0,907.0,8.393348333333334e+21,8.333333333333334e+21,9.183094456601021e+18,9.187798603454614e+18,7.325866007327897e+19,7.353119703133022e+19,0.8934471909931263,0.8934139920357954,48412.356397583746,88158901.0
0.0,0.0,1.0,1e+18,1e+18,0.0,1e+18,0.0,0.0,0.0,0.0,19079045.0,19079045.0
0.0,3.0,1.0,3e+18,1e+18,1e+18,1e+18,0.0,0.0,0.0,0.0,22039725.25,88158901.0
0.0,586.0,585.0,4.478756175357467e+19,4.478756175e+19,7.642928626889875e+16,7.655993461538462e+16,1.5387200928521276e+16,1.5158386299836254e+16,0.060108352502098485,0.05854345986877984,75285.14175918019,88158901.0
0.0,2.0,1447.0,7.01e+19,2.0590463833663634e+22,3.505e+19,1.4229760769636237e+19,3.495e+19,2.5310548856722383e+19,0.4985734664764622,0.7119737592917604,60841.20151828847,88158901.0
0.0,3.0,3.0,1.3591897339999998e+19,1.359189734e+19,4.530632446666666e+18,4.5306324466666665e+18,4.5088160711679283e+18,4.508816071167929e+18,0.4815193476144957,0.4815193476144957,14693150.166666666,88158901.0
0.0,0.0,1031.0,6324006896319.0,6147995165641.0,0.0,5963137891.019399,0.0,5412436680.695852,0.6980515088974517,0.2914878602049583,43921.71968962173,45283293.0
0.0,2190.0,102821.0,3.6350085665005236e+23,3.600953956755e+23,1.6598212632422482e+20,3.5021580773917783e+18,2.4948209686075284e+20,1.0331861023789412e+19,0.6134639172505129,0.7580966002146784,839.5206311719725,88158901.0
0.0,125.0,111.0,1.172910104e+19,1.1686e+19,9.383280832e+16,1.0527927927927928e+17,2.4421833707318163e+17,2.568915419888839e+17,0.8054458565121201,0.7876383999950661,373554.6652542373,88158901.0
0.0,18.0,13.0,1.345609691e+19,9.45699691e+18,7.475609394444445e+17,7.274613007692308e+17,5.015054056714505e+17,4.563812726467136e+17,0.3285689913661929,0.321662491773959,2843835.5161290322,88158901.0
0.0,2.0,2.0,3.4558818e+18,3.4558818e+18,1.7279409e+18,1.7279409e+18,1.6279409e+18,1.6279409e+18,0.47106382515744605,0.47106382515744605,22039725.25,88158901.0
0.0,105.0,3102.0,4.000025429e+18,4.000001e+18,3.809548027619048e+16,1289490973565441.8,2.2028899958803987e+17,914112228307030.6,0.8651897874188907,0.3351060493633974,27489.523230433428,88158901.0
0.0,0.0,98.0,5.058073487961827e+18,5.04125832e+18,0.0,5.144141142857143e+16,0.0,6417491923293297.0,0.05515609519197939,0.02630857164928731,81972.67346938775,8033322.0
0.0,18521.0,18710.0,2.223227364463685e+22,2.638924165730961e+22,1.200381925632355e+18,1.4104351500432717e+18,2.9581842799042314e+18,3.2450638355546518e+19,0.6822995536837321,0.9204627851340922,2367.8896887002766,88158901.0
0.0,5.0,2971.0,5.2436308374376205e+17,1.2668214305359632e+22,1.0487261674875242e+17,4.2639563464690785e+18,1.0030998179558235e+17,2.5715229130979213e+19,0.5075377736403458,0.8029011810896913,29623.286626344085,88158901.0
0.0,277.0,277.0,1.416592214395136e+19,1.416592214e+19,5.1140513155059064e+16,5.114051314079422e+16,1.718339109327676e+16,1.7183391091656e+16,0.021602596921238896,0.021602599850871772,159131.59025270757,88158901.0
0.0,0.0,164.0,3.7826e+19,3.7826e+19,0.0,2.3064634146341462e+17,0.0,2.8701452005042734e+18,0.0,0.9859732908653212,2108.121951219512,345732.0
0.0,0.0,651.0,5.551650244188158e+19,5.551650244e+19,0.0,8.527880559139784e+16,0.0,4.647852691789483e+16,0.27706654299468914,0.2770665432839771,58172.354838709674,37870203.0
0.0,0.0,1788.0,7.22510001e+20,7.153513e+20,0.0,4.000846196868009e+17,0.0,2.656288103877903e+18,0.6255386742285128,0.6601063113368497,6045.028523489933,10808511.0
0.0,1.0,254.0,7.5e+19,1.6124474525314253e+21,7.5e+19,6.348218317052855e+18,0.0,2.3124582439933686e+19,0.0,0.79969152695048,345721.1803921569,88158901.0
0.0,151.0,3961.0,9.942225059082217e+19,1.864459485364891e+20,6.584255006014714e+17,4.707042376583921e+16,1.1778457703877125e+18,2.574448305647553e+17,0.6813721300739902,0.8469434753877197,21439.421449416343,88158901.0
0.0,1151.0,3.0,4.469556e+18,4.357054e+18,3883193744569939.0,1.4523513333333332e+18,5322022261186257.0,1.0028827150121903e+18,0.6291816534418863,0.33861503667386267,76394.19497400346,88158901.0
0.0,23366.0,18234.0,2.099100940530336e+22,1.8199080316260713e+22,8.983569890140957e+17,9.980849136920431e+17,4.2603261228573225e+18,4.759534202338064e+18,0.7515581602844549,0.7511420058671779,2119.2043509615382,88158901.0
0.0,354.0,3.0,3.026001e+19,2.522e+19,8.548025423728813e+16,8.406666666666667e+18,2.634873961528132e+16,7.48806309327645e+18,0.07096465461155134,0.43272535025112346,246943.70028011204,88158901.0
0.0,290.0,242.0,9.50331651e+18,8.175590425e+18,3.277005693103449e+16,3.378343150826446e+16,7.516721408681406e+16,7.893551302144574e+16,0.5504624506735164,0.5753585981746003,165712.21992481203,88158901.0
0.0,9.0,9.0,5.816317366e+19,5.816317366e+19,6.462574851111112e+18,6.462574851111112e+18,3.028838762730303e+18,3.0288387627303035e+18,0.2553051687180655,0.2553051687180655,4897716.722222222,88158901.0
0.0,151.0,129.0,1.3858224679724365e+20,1.2674837826724364e+20,9.177632238228056e+17,9.82545567963129e+17,1.5130271669740708e+18,1.6012828842862582e+18,0.6987905494523,0.6988891006531439,314853.21785714285,88158901.0
0.0,0.0,2654.0,1.4183248324800237e+23,1.4154425586930981e+23,0.0,5.3332424969596764e+19,0.0,6.39270525276358e+20,0.9602735970605777,0.9579374923002155,19936.387716654106,52911173.0
